request_id,status,recommended_payment_option_id,recommended_payment_method,amount_safe_to_pay,earliest_safe_full_payment_date,payment_schedule,spending_interventions,explanation
request_26,REJECTED,none,none,0.0,none,none,none,"Request 26 was rejected due to a tight liquidity buffer. No interventions were applied, and no funds were paid."
request_27,REJECTED,none,none,0.0,none,none,none,"Request 27 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the specified constraints."
request_28,REJECTED,none,none,0.0,none,none,none,"Request 28 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the specified constraints."
request_29,REJECTED,none,none,0.0,none,none,none,"Request 29 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the stated constraints."
request_30,REJECTED,none,none,0.0,none,none,none,Request 30 was rejected due to a tight liquidity buffer. No interventions were required as the total paid was $0.00.
request_31,REJECTED,none,none,0.0,none,none,none,"Request 31 was rejected due to a tight liquidity buffer. No interventions were required, and no funds were paid."
request_32,REJECTED,none,none,0.0,none,none,none,"Request 32 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the specified constraints."
request_33,REJECTED,none,none,0.0,none,none,none,"Request 33 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the stated constraint."
request_34,REJECTED,none,none,0.0,none,none,none,"Request 34 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the stated constraints."
request_35,REJECTED,none,none,0.0,none,none,none,"Request 35 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the specified constraints."
request_36,REJECTED,none,none,0.0,none,none,none,Request 36 was rejected due to a tight liquidity buffer. No interventions were required as the total paid was $0.00.
request_37,REJECTED,none,none,0.0,none,none,none,"Request 37 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the stated constraints."
request_38,REJECTED,none,none,0.0,none,none,none,Request 38 was rejected due to a tight liquidity buffer. No interventions were required as the total paid was $0.00.
request_39,REJECTED,none,none,0.0,none,none,none,"Request 39 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with existing financial constraints."
request_40,REJECTED,none,none,0.0,none,none,none,Request 40 was rejected due to a tight liquidity buffer. No interventions were required as the total paid was $0.00.
request_41,REJECTED,none,none,0.0,none,none,none,"Request 41 was rejected due to a tight liquidity buffer. No payments were made, and no interventions were applied."
request_42,REJECTED,none,none,0.0,none,none,none,"Request 42 was rejected due to a tight liquidity buffer. No interventions were required, and no funds were paid."
request_43,REJECTED,none,none,0.0,none,none,none,"Request 43 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the stated constraints."
request_44,REJECTED,none,none,0.0,none,none,none,Request 44 was rejected due to a tight liquidity buffer. No interventions were required as the total paid was $0.00.
request_45,REJECTED,none,none,0.0,none,none,none,"Request 45 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the stated constraints."
request_46,REJECTED,none,none,0.0,none,none,none,"Request 46 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the specified constraints."
request_47,REJECTED,none,none,0.0,none,none,none,"Request 47 was rejected due to a tight liquidity buffer, resulting in $0.00 total paid and no interventions. This decision aligns with existing financial constraints."
request_48,REJECTED,none,none,0.0,none,none,none,"Request 48 was rejected due to a tight liquidity buffer, resulting in $0.00 total paid and no interventions. This decision aligns with existing financial constraints."
request_49,REJECTED,none,none,0.0,none,none,none,Request 49 was rejected due to a tight liquidity buffer. No interventions were required as the total paid was $0.00.
request_50,REJECTED,none,none,0.0,none,none,none,Request #50 was rejected due to a tight liquidity buffer. No interventions were required as the total paid was $0.00.
request_51,REJECTED,none,none,0.0,none,none,none,"Request 51 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the specified constraints."
request_52,REJECTED,none,none,0.0,none,none,none,"Request 52 was rejected due to a tight liquidity buffer, resulting in $0.00 total paid and no interventions. This decision aligns with existing financial constraints."
request_53,REJECTED,none,none,0.0,none,none,none,"Request 53 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the stated constraints."
request_54,REJECTED,none,none,0.0,none,none,none,"Request 54 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the stated constraints."
request_55,REJECTED,none,none,0.0,none,none,none,Request 55 was rejected due to a tight liquidity buffer. No interventions were required as the total paid was $0.00.
request_56,REJECTED,none,none,0.0,none,none,none,"Request 56 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision reflects the current financial constraints."
request_57,REJECTED,none,none,0.0,none,none,none,"Request 57 was rejected due to a tight liquidity buffer, resulting in $0.00 total paid and no interventions. This decision aligns with existing financial constraints."
request_58,REJECTED,none,none,0.0,none,none,none,"Request 58 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the specified constraints."
request_59,REJECTED,none,none,0.0,none,none,none,"Request 59 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision reflects the current financial constraints."
request_60,REJECTED,none,none,0.0,none,none,none,"Request #60 was rejected due to a tight liquidity buffer, resulting in $0.00 total paid and no interventions. This decision aligns with existing financial constraints."
request_61,REJECTED,none,none,0.0,none,none,none,"Request 61 was rejected due to a tight liquidity buffer, resulting in $0.00 total paid and no interventions. This decision aligns with existing financial constraints."
request_62,REJECTED,none,none,0.0,none,none,none,"Request #62 was rejected due to a tight liquidity buffer, resulting in $0.00 total paid and no interventions. This decision aligns with existing financial constraints."
request_63,REJECTED,none,none,0.0,none,none,none,"Request 63 was rejected due to a tight liquidity buffer. No interventions were required, and no funds were paid."
request_64,REJECTED,none,none,0.0,none,none,none,"Request 64 was rejected due to a tight liquidity buffer, resulting in $0.00 total paid and no interventions. This decision aligns with existing financial constraints."
request_65,REJECTED,none,none,0.0,none,none,none,"Request 65 was rejected due to a tight liquidity buffer. No interventions were required, and no funds were paid."
request_66,REJECTED,none,none,0.0,none,none,none,Request 66 was rejected due to a tight liquidity buffer. No interventions were required as the total paid was $0.00.
request_67,REJECTED,none,none,0.0,none,none,none,Request 67 was rejected due to a tight liquidity buffer. No interventions were required as the total paid was $0.00.
request_68,REJECTED,none,none,0.0,none,none,none,"Request 68 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the stated constraints."
request_69,REJECTED,none,none,0.0,none,none,none,"Request 69 was rejected due to a tight liquidity buffer, resulting in $0.00 total paid and no interventions. This decision aligns with existing financial constraints."
request_70,REJECTED,none,none,0.0,none,none,none,"Request 70 was rejected due to a tight liquidity buffer, resulting in $0.00 total paid and no interventions. This decision aligns with existing financial constraints."
request_71,REJECTED,none,none,0.0,none,none,none,"Request 71 was rejected due to a tight liquidity buffer, resulting in $0.00 total paid and no interventions. This decision aligns with existing financial constraints."
request_72,REJECTED,none,none,0.0,none,none,none,Request 72 was rejected due to a tight liquidity buffer. No interventions were required as the total paid was $0.00.
request_73,REJECTED,none,none,0.0,none,none,none,"Request 73 was rejected due to a tight liquidity buffer, resulting in $0.00 total paid and no interventions. This decision aligns with existing financial constraints."
request_74,REJECTED,none,none,0.0,none,none,none,"Request 74 was rejected due to a tight liquidity buffer. No interventions were required, and no funds were paid."
request_75,REJECTED,none,none,0.0,none,none,none,"Request 75 was rejected due to a tight liquidity buffer. No interventions were applied, and no funds were paid."
request_76,REJECTED,none,none,0.0,none,none,none,"Request 76 was rejected due to a tight liquidity buffer. No interventions were applied, and no funds were paid."
request_77,REJECTED,none,none,0.0,none,none,none,Request 77 was rejected due to a tight liquidity buffer. No interventions were required as the total paid was $0.00.
request_78,REJECTED,none,none,0.0,none,none,none,"Request 78 was rejected due to a tight liquidity buffer, resulting in $0.00 total paid and no interventions. This decision aligns with existing financial constraints."
request_79,REJECTED,none,none,0.0,none,none,none,"Request 79 was rejected due to a tight liquidity buffer. No interventions were applied, and no funds were paid."
request_80,REJECTED,none,none,0.0,none,none,none,"Request 80 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the specified constraints."
request_81,REJECTED,none,none,0.0,none,none,none,"Request 81 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision reflects the current financial constraints."
request_82,REJECTED,none,none,0.0,none,none,none,"Request 82 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the stated constraints."
request_83,REJECTED,none,none,0.0,none,none,none,"Request 83 was rejected due to a tight liquidity buffer, resulting in $0.00 total paid and no interventions. This decision aligns with existing financial constraints."
request_84,REJECTED,none,none,0.0,none,none,none,"Request 84 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the stated constraints."
request_85,REJECTED,none,none,0.0,none,none,none,Request 85 was rejected due to a tight liquidity buffer. No interventions were required as the total paid was $0.00.
request_86,REJECTED,none,none,0.0,none,none,none,"Request 86 was rejected due to a tight liquidity buffer, resulting in $0.00 total paid and no interventions. This decision aligns with existing financial constraints."
request_87,REJECTED,none,none,0.0,none,none,none,"Request 87 was rejected due to a tight liquidity buffer, resulting in $0.00 total paid and no interventions. This decision aligns with the specified constraints."
request_88,REJECTED,none,none,0.0,none,none,none,"Request 88 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision aligns with the stated constraints."
request_89,REJECTED,none,none,0.0,none,none,none,"Request 89 was rejected due to a tight liquidity buffer, with no payment made and no interventions applied. This decision reflects the current financial constraints."
